"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","currentProduct","currentProject","historicalMean","predictedConsumptionAveraged"
"88","1.32508833922261","1.06007067137809","0.795053003533569","1.113074204947","1.1660777385159","1.113074204947","0.795053003533569","0.901060070671378","0.795053003533569","0.795053003533569","1.1660777385159","0.975265017667844","1","2","3","4","5","6","7","8","9","10","11","12","DDGTURIS1M-","CT974v2","1886.66666666667","0.92756183745583"
"89","1.07430617726052","0.805729632945389","1.12802148612355","1.18173679498657","1.12802148612355","0.805729632945389","0.913160250671441","0.805729632945389","0.805729632945389","1.18173679498657","0.988361683079678","1.18173679498657","2","3","4","5","6","7","8","9","10","11","12","1","DDGTURIS1M-","CT974v2","1861.66666666667","0.886302596239928"
"90","0.847457627118644","1.1864406779661","1.24293785310734","1.1864406779661","0.847457627118644","0.96045197740113","0.847457627118644","0.847457627118644","1.24293785310734","1.03954802259887","1.24293785310734","0.508474576271186","3","4","5","6","7","8","9","10","11","12","1","2","DDGTURIS1M-","CT974v2","1770","1.03578154425612"
"91","1.18088097469541","1.23711340206186","1.18088097469541","0.84348641049672","0.955951265229616","0.84348641049672","0.84348641049672","1.23711340206186","1.03467666354264","1.23711340206186","0.506091846298032","0.899718837863168","4","5","6","7","8","9","10","11","12","1","2","3","DDGTURIS1M-","CT974v2","1778.33333333333","1.06841611996251"
"92","1.26074498567335","1.20343839541547","0.859598853868195","0.974212034383954","0.859598853868195","0.859598853868195","1.26074498567335","1.05444126074499","1.26074498567335","0.515759312320917","0.916905444126075","0.974212034383954","5","6","7","8","9","10","11","12","1","2","3","4","DDGTURIS1M-","CT974v2","1745","1.16523400191022"
"93","1.19771863117871","0.855513307984791","0.96958174904943","0.855513307984791","0.855513307984791","1.25475285171103","1.04942965779468","1.25475285171103","0.513307984790875","0.91254752851711","0.96958174904943","1.31178707224335","6","7","8","9","10","11","12","1","2","3","4","5","DDGTURIS1M-","CT974v2","1753.33333333333","1.07414448669202"
"94","0.8","0.8","0","0.8","1.6","0.8","0","1.6","1.6","1.6","0.8","1.6","1","2","3","4","5","6","7","8","9","10","11","12","DDISMHEX5B-","CT974v2","1.25","2"
"95","0.8","0","0.8","1.6","0.8","0","1.6","1.6","1.6","0.8","1.6","0.8","2","3","4","5","6","7","8","9","10","11","12","1","DDISMHEX5B-","CT974v2","1.25","2.26666666666667"
"96","0","0.75","1.5","0.75","0","1.5","1.5","1.5","0.75","1.5","0.75","1.5","3","4","5","6","7","8","9","10","11","12","1","2","DDISMHEX5B-","CT974v2","1.33333333333333","2.25"
"97","0.631578947368421","1.26315789473684","0.631578947368421","0","1.26315789473684","1.26315789473684","1.26315789473684","0.631578947368421","1.26315789473684","0.631578947368421","1.26315789473684","1.89473684210526","4","5","6","7","8","9","10","11","12","1","2","3","DDISMHEX5B-","CT974v2","1.58333333333333","2.10526315789474"
